iter	Passed	Remaining
870	16360	2423
871	16382	2404
872	16404	2386
873	16417	2366
874	16430	2347
875	16442	2327
876	16466	2309
877	16489	2291
878	16515	2273
879	16530	2254
880	16543	2234
881	16555	2214
882	16568	2195
883	16578	2175
884	16589	2155
885	16599	2135
886	16611	2116
887	16624	2096
888	16636	2077
889	16649	2057
890	16661	2038
891	16679	2019
892	16693	2000
893	16708	1981
894	16725	1962
895	16743	1943
896	16759	1924
897	16773	1905
898	16786	1885
899	16802	1866
900	16817	1847
901	16830	1828
902	16846	1809
903	16865	1791
904	16884	1772
905	16904	1753
906	16924	1735
907	16943	1716
908	16959	1697
909	16973	1678
910	16985	1659
911	16997	1640
912	17016	1621
913	17035	1602
914	17054	1584
915	17074	1565
916	17093	1547
917	17112	1528
918	17131	1509
919	17150	1491
920	17170	1472
921	17191	1454
922	17210	1435
923	17229	1417
924	17249	1398
925	17268	1379
926	17288	1361
927	17308	1342
928	17330	1324
929	17350	1305
930	17369	1287
931	17388	1268
932	17408	1250
933	17427	1231
934	17447	1212
935	17467	1194
936	17485	1175
937	17504	1157
938	17523	1138
939	17542	1119
940	17562	1101
941	17581	1082
942	17602	1063
943	17622	1045
944	17642	1026
945	17661	1008
946	17682	989
947	17702	971
948	17721	952
949	17740	933
950	17759	915
951	17780	896
952	17800	877
953	17820	859
954	17839	840
955	17859	821
956	17879	803
957	17897	784
958	17917	766
959	17940	747
960	17959	728
961	17978	710
962	17997	691
963	18016	672
964	18036	654
965	18055	635
966	18074	616
967	18095	598
968	18114	579
969	18132	560
970	18149	542
971	18169	523
972	18187	504
973	18206	486
974	18226	467
975	18246	448
976	18266	430
977	18286	411
978	18307	392
979	18327	374
980	18346	355
981	18366	336
982	18384	317
983	18405	299
984	18425	280
985	18444	261
986	18464	243
987	18483	224
988	18503	205
989	18523	187
990	18543	168
991	18561	149
992	18580	130
993	18599	112
994	18618	93
995	18638	74
996	18657	56
997	18676	37
998	18695	18
999	18714	0
